sensorID,co2,date time,rate_of_change
lw-ms-ambi-01,526.0,2025-05-09 00:04:49,
lw-ms-ambi-01,535.0,2025-05-09 00:14:41,478761.4708751246
lw-ms-ambi-01,525.0,2025-05-09 00:24:40,-526605.6166176053
lw-ms-ambi-01,508.0,2025-05-09 00:34:44,-887386.6261921047
lw-ms-ambi-01,518.0,2025-05-09 00:44:46,524564.2060100966
lw-ms-ambi-01,501.0,2025-05-09 00:54:42,-898777.5400288804
lw-ms-ambi-01,503.0,2025-05-09 01:04:43,104967.00708826861
lw-ms-ambi-01,508.0,2025-05-09 01:14:44,262133.30762095074
lw-ms-ambi-01,483.0,2025-05-09 01:34:44,-657415.2673105178
lw-ms-ambi-01,470.0,2025-05-09 01:44:43,-684152.7291666706
lw-ms-ambi-01,463.0,2025-05-09 01:54:43,-367579.1940491814
lw-ms-ambi-01,472.0,2025-05-09 02:04:41,475308.88617597957
lw-ms-ambi-01,476.0,2025-05-09 02:14:45,208821.55764344335
lw-ms-ambi-01,451.0,2025-05-09 02:24:42,-1320043.6239256728
lw-ms-ambi-01,453.0,2025-05-09 02:34:40,105479.71465810614
lw-ms-ambi-01,449.0,2025-05-09 02:44:41,-210011.94592779753
lw-ms-ambi-01,442.0,2025-05-09 02:54:44,-366010.0461162511
lw-ms-ambi-01,432.0,2025-05-09 03:04:43,-526500.3630057726
lw-ms-ambi-01,437.0,2025-05-09 03:14:41,263401.5965153639
lw-ms-ambi-01,438.0,2025-05-09 03:24:42,52460.81190575635
lw-ms-ambi-01,419.0,2025-05-09 03:34:42,-1000148.2652568517
lw-ms-ambi-01,428.0,2025-05-09 03:44:43,472074.6592500461
lw-ms-ambi-01,412.0,2025-05-09 03:54:44,-839455.3825577802
lw-ms-ambi-01,418.0,2025-05-09 04:04:44,315052.2574799806
lw-ms-ambi-01,415.0,2025-05-09 04:14:44,-157767.4881199162
lw-ms-ambi-01,428.0,2025-05-09 04:24:40,687532.5780668022
lw-ms-ambi-01,411.0,2025-05-09 04:44:44,-445411.33234562067
lw-ms-ambi-01,406.0,2025-05-09 04:54:43,-263089.01512211736
lw-ms-ambi-01,401.0,2025-05-09 05:04:42,-263426.2009593485
lw-ms-ambi-01,400.0,2025-05-09 05:14:42,-52582.531001071104
lw-ms-ambi-01,399.0,2025-05-09 05:34:43,-26260.315245808146
lw-ms-ambi-01,395.0,2025-05-09 05:44:44,-209828.47111331607
lw-ms-ambi-01,384.0,2025-05-09 05:54:43,-578877.6143177531
lw-ms-ambi-01,378.0,2025-05-09 06:04:45,-314308.93677153386
lw-ms-ambi-01,392.0,2025-05-09 06:14:42,739435.5608724093
lw-ms-ambi-01,382.0,2025-05-09 06:24:41,-526102.458537213
lw-ms-ambi-01,372.0,2025-05-09 06:34:43,-524251.74421801954
lw-ms-ambi-01,393.0,2025-05-09 06:44:41,1108343.8441368272
lw-ms-ambi-01,368.0,2025-05-09 06:54:44,-1306086.6127725807
lw-ms-ambi-01,371.0,2025-05-09 07:04:42,158285.01121551893
lw-ms-ambi-01,376.0,2025-05-09 07:14:41,263348.8457683806
lw-ms-ambi-01,359.0,2025-05-09 07:24:42,-890890.3663297907
lw-ms-ambi-01,352.0,2025-05-09 07:34:42,-367961.29138958215
lw-ms-ambi-01,353.0,2025-05-09 07:44:41,52689.58194773121
lw-ms-ambi-01,361.0,2025-05-09 07:54:41,420164.5096740727
lw-ms-ambi-01,350.0,2025-05-09 08:04:43,-576443.1151008141
lw-ms-ambi-01,351.0,2025-05-09 08:14:42,52679.84814713041
lw-ms-ambi-01,365.0,2025-05-09 08:24:41,737236.558270881
lw-ms-ambi-01,355.0,2025-05-09 08:34:40,-525847.6795155286
lw-ms-ambi-01,342.0,2025-05-09 08:44:40,-683323.3853406075
lw-ms-ambi-01,344.0,2025-05-09 08:54:44,104473.68382824215
lw-ms-ambi-01,357.0,2025-05-09 09:04:44,683167.4777619627
lw-ms-ambi-01,353.0,2025-05-09 09:14:40,-211723.20645625266
lw-ms-ambi-01,346.0,2025-05-09 09:24:43,-365726.7288828107
lw-ms-ambi-01,338.0,2025-05-09 09:34:45,-419517.87142091524
lw-ms-ambi-01,349.0,2025-05-09 09:44:43,579591.5011712102
lw-ms-ambi-01,333.0,2025-05-09 09:54:44,-839540.775907613
lw-ms-ambi-01,331.0,2025-05-09 10:04:43,-105386.83084911878
lw-ms-ambi-01,337.0,2025-05-09 10:14:42,316054.21519069443
lw-ms-ambi-01,339.0,2025-05-09 10:24:43,104938.9907348814
lw-ms-ambi-01,328.0,2025-05-09 10:34:44,-577049.3070348056
lw-ms-ambi-01,341.0,2025-05-09 10:44:45,682257.4064460181
lw-ms-ambi-01,333.0,2025-05-09 10:54:42,-422634.7865538533
lw-ms-ambi-01,328.0,2025-05-09 11:04:42,-262595.8737235198
lw-ms-ambi-01,326.0,2025-05-09 11:14:40,-105502.04011927175
lw-ms-ambi-01,328.0,2025-05-09 11:24:44,104416.0247249306
lw-ms-ambi-01,321.0,2025-05-09 11:34:44,-367639.0661566692
lw-ms-ambi-01,336.0,2025-05-09 11:44:43,790110.4614144376
lw-ms-ambi-01,327.0,2025-05-09 11:54:41,-475005.2352012211
lw-ms-ambi-01,314.0,2025-05-09 12:04:40,-683768.9597642827
lw-ms-ambi-01,323.0,2025-05-09 12:14:41,472509.3837747556
lw-ms-ambi-01,335.0,2025-05-09 12:24:42,629257.1470325789
lw-ms-ambi-01,338.0,2025-05-09 12:34:40,158213.94728523592
lw-ms-ambi-01,329.0,2025-05-09 12:44:41,-472112.4642471169
lw-ms-ambi-01,330.0,2025-05-09 12:54:44,52375.312340489036
lw-ms-ambi-01,330.0,2025-05-09 13:04:41,0.0
lw-ms-ambi-01,338.0,2025-05-09 13:14:40,421390.80461987556
lw-ms-ambi-01,319.0,2025-05-09 13:24:41,-996346.6673612901
lw-ms-ambi-01,332.0,2025-05-09 13:34:44,680742.4485647395
lw-ms-ambi-01,333.0,2025-05-09 13:44:43,52565.371304857836
lw-ms-ambi-01,326.0,2025-05-09 13:54:42,-369089.5117906403
lw-ms-ambi-01,317.0,2025-05-09 14:14:42,-236401.06406365806
lw-ms-ambi-01,322.0,2025-05-09 14:24:44,262117.6500909303
lw-ms-ambi-01,327.0,2025-05-09 14:34:42,263486.81086923735
lw-ms-ambi-01,315.0,2025-05-09 14:44:40,-632646.5965717179
lw-ms-ambi-01,326.0,2025-05-09 14:54:41,577906.2895071348
lw-ms-ambi-01,319.0,2025-05-09 15:04:43,-366733.95366635
lw-ms-ambi-01,324.0,2025-05-09 15:14:42,263248.0103814544
lw-ms-ambi-01,327.0,2025-05-09 15:24:40,158147.22753323708
lw-ms-ambi-01,316.0,2025-05-09 15:34:41,-576520.2198733538
lw-ms-ambi-01,311.0,2025-05-09 15:44:40,-263411.952061731
lw-ms-ambi-01,326.0,2025-05-09 15:54:43,784980.0264948681
lw-ms-ambi-01,313.0,2025-05-09 16:04:41,-684767.4827405458
lw-ms-ambi-01,327.0,2025-05-09 16:14:43,733330.0800237746
lw-ms-ambi-01,315.0,2025-05-09 16:24:44,-630407.5742089392
lw-ms-ambi-01,333.0,2025-05-09 16:34:44,945878.6129845096
lw-ms-ambi-01,321.0,2025-05-09 16:44:41,-633471.5162602381
lw-ms-ambi-01,325.0,2025-05-09 16:54:42,210122.12428990167
lw-ms-ambi-01,312.0,2025-05-09 17:14:42,-341499.859271917
lw-ms-ambi-01,322.0,2025-05-09 17:34:41,263110.0278079667
lw-ms-ambi-01,310.0,2025-05-09 17:44:42,-629088.6692809243
lw-ms-ambi-01,317.0,2025-05-09 17:54:41,368801.73487575835
lw-ms-ambi-01,330.0,2025-05-09 18:04:41,682969.2580938239
lw-ms-ambi-01,314.0,2025-05-09 18:24:41,-420338.09245885897
lw-ms-ambi-01,320.0,2025-05-09 18:34:41,315470.29893218336
lw-ms-ambi-01,325.0,2025-05-09 19:04:42,87582.7798144326
lw-ms-ambi-01,322.0,2025-05-09 19:14:40,-158075.46133350456
lw-ms-ambi-01,311.0,2025-05-09 19:24:43,-575645.209474447
lw-ms-ambi-01,319.0,2025-05-09 19:34:50,415550.3654914595
lw-ms-ambi-01,327.0,2025-05-09 19:44:41,426566.13470274373
lw-ms-ambi-01,322.0,2025-05-09 19:54:41,-263105.6551016447
lw-ms-ambi-01,309.0,2025-05-09 20:04:40,-684391.8287453883
lw-ms-ambi-01,308.0,2025-05-09 20:14:42,-52382.169605781266
lw-ms-ambi-01,309.0,2025-05-09 20:24:40,52734.85956571951
lw-ms-ambi-01,324.0,2025-05-09 20:34:43,784235.9593185853
lw-ms-ambi-01,306.0,2025-05-09 20:44:41,-949656.6379817545
lw-ms-ambi-01,320.0,2025-05-09 20:54:46,728880.5043828523
lw-ms-ambi-01,320.0,2025-05-09 21:04:39,0.0
lw-ms-ambi-01,325.0,2025-05-09 21:14:43,260980.38905171514
lw-ms-ambi-01,334.0,2025-05-09 21:24:43,473292.13692010153
lw-ms-ambi-01,319.0,2025-05-09 21:34:43,-788608.8407075444
lw-ms-ambi-01,316.0,2025-05-09 21:44:43,-157716.68148291815
lw-ms-ambi-01,329.0,2025-05-09 21:54:43,682694.6280424825
lw-ms-ambi-01,323.0,2025-05-09 22:04:40,-316909.2462384358
lw-ms-ambi-01,320.0,2025-05-09 22:14:41,-157569.32278244654
lw-ms-ambi-01,326.0,2025-05-09 22:24:43,313917.05722587707
lw-ms-ambi-01,326.0,2025-05-09 22:34:44,0.0
lw-ms-ambi-01,324.0,2025-05-09 22:44:40,-105744.37648297509
lw-ms-ambi-01,326.0,2025-05-09 22:54:41,104909.7735777726
lw-ms-ambi-01,309.0,2025-05-09 23:04:42,-891993.0788144097
lw-ms-ambi-01,323.0,2025-05-09 23:14:41,737628.6104603113
lw-ms-ambi-01,308.0,2025-05-09 23:24:42,-787028.4402902499
lw-ms-ambi-01,327.0,2025-05-09 23:34:42,997594.1372703976
lw-ms-ambi-01,323.0,2025-05-09 23:44:40,-211054.23245501518
lw-ms-ambi-01,310.0,2025-05-09 23:54:42,-681382.7555840758
